PMID,Title,Abstract,Date
39169825,N-Substituted Pyrrole-Based Heterocycles as Broad-Spectrum Filoviral Entry Inhibitors.,"Since the largest and most fatal Ebola virus epidemic during 2014-2016, there have been several consecutive filoviral outbreaks in recent years, including those in 2021, 2022, and 2023. Ongoing outbreak prevalence and limited FDA-approved filoviral therapeutics emphasize the need for novel small molecule treatments. Here, we showcase the structure-activity relationship development of N-substituted pyrrole-based heterocycles and their potent, submicromolar entry inhibition against diverse filoviruses in a target-based pseudovirus assay. Inhibitor antiviral activity was validated using replication-competent Ebola, Sudan, and Marburg viruses. Mutational analysis was used to map the targeted region within the Ebola virus glycoprotein. Antiviral counter-screen and phospholipidosis assays were performed to demonstrate the reduced off-target activity of these filoviral entry inhibitors. Favorable antiviral potency, selectivity, and drug-like properties of the N-substituted pyrrole-based heterocycles support their potential as broad-spectrum antifiloviral treatments.",2024-08-06
39167092,Development of a Novel Peptide-Based PET Tracer [<sup>68</sup>Ga]Ga-DOTA-BP1 for BCMA Detection in Multiple Myeloma.,"B-cell maturation antigen (BCMA) has emerged as a promising tumor marker for the diagnosis and treatment of multiple myeloma. The noninvasive and rapid detection of BCMA expression in vivo provides significant value in screening and evaluating multiple myeloma patients receiving BCMA-targeted therapy. We identified the BCMA-targeting peptide BP1 from a one-bead-one-compound (OBOC) peptide library using a high-throughput microarray strategy. The BCMA-targeting specificity and affinity of BP1 were assessed by surface plasmon resonance imaging (SPRi), flow cytometry, and confocal imaging. BCMA-positive (H929) and BCMA-negative (K562) subcutaneous tumor models were established and labeled with <sup>68</sup>Ga for BP1, followed by PET imaging and biodistribution studies. PET imaging demonstrated that <sup>68</sup>Ga-labeled BP1 has significant specific uptake in multiple myeloma, enabling rapid identification of BCMA expression and precise delineation of the disease. Thus, BP1 represents an ideal candidate for multiple myeloma imaging.",2024-08-21
39152155,Identification of novel small molecule-based strategies of COL7A1 upregulation and readthrough activity for the treatment of recessive dystrophic epidermolysis bullosa.,"Recessive dystrophic epidermolysis bullosa (RDEB) is a rare genetic disease caused by loss of function mutations in the gene coding for collagen VII (C7) due to deficient or absent C7 expression. This disrupts structural and functional skin architecture, leading to blistering, chronic wounds, inflammation, important systemic symptoms affecting the mouth, gastrointestinal tract, cornea, and kidney function, and an increased skin cancer risk. RDEB patients have an extremely poor quality of life and often die at an early age. A frequent class of mutations in RDEB is premature termination codons (PTC), which appear in homozygosity or compound heterozygosity with other mutations. RDEB has no cure and current therapies are mostly palliative. Using patient-derived keratinocytes and a library of 8273 small molecules and 20,160 microbial extracts evaluated in a phenotypic screening interrogating C7 levels, we identified three active chemical series. Two of these series had PTC readthrough activity, and one upregulated C7 mRNA, showing synergistic activity when combined with the reference readthrough molecule gentamicin. These compounds represent novel potential small molecule-based systemic strategies that could complement topical-based treatments for RDEB.",2024-08-16
39145746,Heteroaryl Group Containing Trisubstituted Alkenes: Synthesis and Anti-Tumor Activity.,"Pancreatobililary cancers are fatal solid tumors that pose a significant threat to human life. It is imperative to investigate novel small molecule active compounds for controlling these cancers. Heterocyclic compounds (e. g. gemcitabine) and multi-substituted alkenes (e. g. resveratrol) are commonly applied in tumor treatment. Researchers have proposed that the synthesis of new trisubstituted alkenes containing heteroaromatic rings by combining these two scaffolds may be a fresh strategy to develop new active molecules. In this study, we utilized alkenyl bromide and heteroaryl boronic acid as substrates, employing Suzuki coupling to generate a series of triarylethylenes featuring nitrogen, oxygen, and sulfur atoms. Through in vitro experiments, the results indicated that some compounds exhibited remarkable anti-tumor efficacy (e. g. IC50<sub>[3be, GBC-SD]</sub>=0.13 μM and IC50<sub>[3be, PANC-1]</sub>=0.27 μM). The results further demonstrated that the antitumor efficacy of these compounds was dependent on the heteroatom, π-system, skeleton-bonding site, and substituent type.",2024-10-18
39143566,"Does rAj-Tspin, a novel peptide from A. japonicus, exert antihepatocellular carcinoma effects via the ITGB1/ZYX/FAK/AKT signaling pathway?","rAj-Tspin, a soluble recombinant peptide from Apostichopus japonicus, can inhibit the integrin β1 (ITGB1)/FAK/AKT signaling pathway in hepatocellular carcinoma (HCC) via cell epithelial-mesenchymal transition (EMT) and apoptosis. Zyxin (ZYX) is a focal adhesion protein that is considered a novel mediator of EMT and apoptosis. However, the inhibitory mechanisms of rAj-Tspin in HCC and whether it is related to ZYX are unclear. We examined the antitumor effect of rAj-Tspin on the Huh7 human HCC cell line and on a nude mouse model generated via subcutaneous injection or orthotopic intrahepatic transplantation of Huh7 cells. Our results revealed that rAj-Tspin strikingly reduced the viability and promoted the apoptosis of Huh7 cells and inhibited HCC tumor growth in nude mice. rAj-Tspin inhibited ITGB1 and ZYX protein expression in vivo and in vitro in a dose-dependent manner. Mechanistically, the FAK/AKT signaling pathway and the proliferation and invasion of HCC cells were suppressed upon ITGB1 and ZYX knockdown. Moreover, the effect of ITGB1 overexpression on the growth of HCC cells was inhibited by rAj-Tspin. In contrast, the promoting effect of ITGB1 overexpression could be inhibited by ZYX knockdown. ZYX knockdown had no effect on ITGB1 expression. These findings suggest that ZYX is required for the indispensable role of ITGB1 in rAj-Tspin-alleviated HCC and provide an important therapeutic target for HCC. In summary, the anti-HCC effect of rAj-Tspin potentially involves the regulation of the ITGB1/ZYX/FAK/AKT pathway, which in turn impacts EMT and apoptosis.",2024-08-14
39142180,"Malic enzymes in cancer: Regulatory mechanisms, functions, and therapeutic implications.","Malic enzymes (MEs) are metabolic enzymes that catalyze the oxidation of malate to pyruvate and NAD(P)H. While researchers have well established the physiological metabolic roles of MEs in organisms, recent research has revealed a link between MEs and carcinogenesis. This review collates evidence of the molecular mechanisms by which MEs promote cancer occurrence, including transcriptional regulation, post-transcriptional regulation, post-translational protein modifications, and protein-protein interactions. Additionally, we highlight the roles of MEs in reprogramming energy metabolism, suppressing senescence, and modulating the tumor immune microenvironment. We also discuss the involvement of these enzymes in mediating tumor resistance and how the development of novel small-molecule inhibitors targeting MEs might be a good therapeutic approach. Insights through this review are expected to provide a comprehensive understanding of the intricate relationship between MEs and cancer, while facilitating future research on the potential therapeutic applications of targeting MEs in cancer management.",2024-07-19
39138279,Peptidomic analysis reveals novel peptide PDLC promotes cell proliferation in hepatocellular carcinoma via Ras/Raf/MEK/ERK pathway.,"Hepatocellular carcinoma (HCC) still presents poor prognosis with low overall survival rates and limited therapeutic options available. Recently, attention has been drawn to peptidomic analysis, an emerging field of proteomics for the exploration of new potential peptide drugs for the treatment of various diseases. However, research on the potential function of HCC peptides is lacking. Here, we analyzed the peptide spectrum in HCC tissues using peptidomic techniques and explored the potentially beneficial peptides involved in HCC. Changes in peptide profiles in HCC were examined using liquid chromatography-mass spectrometry (LC-MS/MS). Analyze the physicochemical properties and function of differently expressed peptides using bioinformatics. The effect of candidate functional peptides on HCC cell growth and migration was evaluated using the CCK-8, colony formation, and transwell assays. Transcriptome sequencing analysis and western blot were employed to delve into the mode of action of potential peptide on HCC. Peptidomic analysis of HCC tissue yielded a total of 8683 peptides, of which 452 exhibited up-regulation and 362 showed down-regulation. The peptides that were differentially expressed, according to bioinformatic analysis, were closely linked to carbon metabolism and the mitochondrial inner membrane. The peptide functional validation identified a novel peptide, PDLC (peptide derived from liver cancer), which was found to dramatically boost HCC cell proliferation through the Ras/Raf/MEK/ERK signaling cascade. Our research defined the peptide's properties and pattern of expression in HCC and identified a novel peptide, PDLC, with a function in encouraging HCC progression, offering an entirely new potential therapeutic target the disease.",2024-08-13
39138237,"Discovery and engineering of a novel peptide, Temporin-WY2, with enhanced in vitro and in vivo efficacy against multi-drug resistant bacteria.","Infections by drug-resistant microorganisms are a threat to global health and antimicrobial peptides are considered to be a new hope for their treatment. Temporin-WY2 was identified from the cutaneous secretion of the Ranidae frog, Amolops wuyiensis. It presented with a potent anti-Gram-positive bacterial efficacy, but its activity against Gram-negative bacteria and cancer cell lines was unremarkable. Also, it produced a relatively high lytic effect on horse erythrocytes. For further improvement of its functions, a perfect amphipathic analogue, QUB-1426, and two lysine-clustered analogues, 6K-WY2 and 6K-1426, were synthesised and investigated. The modified peptides were found to be between 8- and 64-fold more potent against Gram-negative bacteria than the original peptide. Additionally, the 6K analogues showed a rapid killing rate. Also, their antiproliferation activities were more than 100-fold more potent than the parent peptide. All of the peptides that were examined demonstrated considerable biofilm inhibition activity. Moreover, QUB-1426, 6K-WY2 and 6K-1426, demonstrated in vivo antimicrobial activity against MRSA and E. coli in an insect larvae model. Despite observing a slight increase in the hemolytic activity and cytotoxicity of the modified peptides, they still demonstrated a improved therapeutic index. Overall, QUB-1426, 6K-WY2 and 6K-1426, with dual antimicrobial and anticancer functions, are proposed as putative drug candidates for the future.",2024-08-13
39132158,METTL3 Inhibition Suppresses Cell Growth and Survival in Colorectal Cancer via ASNS Downregulation.,"<b>Background:</b> Colorectal cancer (CRC) presents a significant global health burden, with high rates of incidence and mortality, and an urgent need to improve prognosis. STM2457, a novel small molecule inhibitor specific for N6-methyladenosine (m6A) catalytic enzyme Methyltransferase-like 3 (METTL3) has implicated significant treatment potentials in a few of types of cancer. However, its impact and underlying mechanism are still unclear in CRC cells. <b>Methods:</b> We used CCK-8 and colony formation assay to observe cell growth, flow cytometry and TUNEL approaches to detect cell apoptosis under the treatment of STM2457 on CRC cells <i>in vitro</i> or <i>in vivo</i>. RNA-sequencing, qRT-PCR and western blotting were performed to explore downstream effectors of STM2457. Messenger RNA stability was evaluated by qRT-PCR after treatment with actinomycin D. The methylated RNA immunoprecipitation (MeRIP) qPCR, dual-luciferase reporter analyses and m6A dot blotting were carried out to measure the m6A modification. Associated gene expression pattern and clinical relevance in CRC clinical tissue samples were analyzed using online database. <b>Results:</b> STM2457 exhibited a strong influence on cell growth suppression and apoptosis of CRC cells <i>in vitro</i> and subcutaneous xenograft growth <i>in vivo</i>. Asparagine synthetase (ASNS) was markedly downregulated upon STM2457 treatment or METTL3 knockdown and exogenous overexpression of ASNS could rescue the biological defects induced by STM2457. Mechanistically, the downregulation of ASNS by STM2457 may be due to the decrease of m6A modification level in ASNS mRNA mediated by METTL3. <b>Conclusions:</b> Our findings suggest that STM2457 may serve as a potential therapeutic agent and ASNS may be a new promising therapeutic target for CRC.",2024-07-16
39126612,"A randomized phase 1 study of safety, tolerability, and pharmacokinetics of MK-1088, a novel dual adenosine receptor antagonist, in healthy adult participants.","This phase 1 first-in-human study evaluated the safety, tolerability, and pharmacokinetics of MK-1088, a novel, small-molecule dual inhibitor of adenosine A<sub>2A</sub> and A<sub>2B</sub> receptors. Healthy adult participants were enrolled in two panels (n = 8 each) and randomly assigned to receive MK-1088 (n = 6) or placebo (n = 2) orally in each of five treatment periods. Participants in panel A received single ascending doses of MK-1088 at 1, 10, 50, and 150 mg or placebo in a fasted or fed (50 mg only) state. Participants in panel B received MK-1088 at 3, 25, 100, and 224 mg or placebo in a fasted state. Primary objectives were to evaluate safety, tolerability, and plasma pharmacokinetics following a single dose of MK-1088. The secondary objective was to evaluate the effects of a high-fat meal on pharmacokinetics. All participants (n = 16) completed the study (median age: 33 years [range: 20-43]; all were male). Treatment-related adverse events (AEs) occurred in 1 of 6 (17%), 4 of 6 (67%), 4 of 6 (67%), and 2 of 6 (33%) participants after receiving MK-1088 at 3, 25, 100, and 224 mg, respectively. No serious AEs or deaths due to any cause occurred. MK-1088 was rapidly absorbed after a single dose; half-life was ~ 11 h in the 100-224 mg dose range. The target concentration at 12 h (> 0.3 µM) was exceeded at the 50-mg dose level. MK-1088 plasma pharmacokinetics increased dose proportionately. A high-fat meal did not significantly affect pharmacokinetics at the 50-mg dose. MK-1088 was well tolerated and demonstrated dose-proportional pharmacokinetic properties that were not affected by a high-fat meal.",2024-08-10
39123210,"Efficacy and safety of chiauranib in a combination therapy in platinum-resistant or refractory ovarian cancer: a multicenter, open-label, phase Ib and II study.","Platinum-resistant or refractory ovarian cancer is a highly lethal gynecologic disease with limited treatment options. Chiauranib is a novel small-molecule selective inhibitor, which could effectively target multiple pathways including Aurora B and CSF-1R to inhibit cell cycle process and improve anti-tumor immune function, as long as VEGF pathway for tumor extinction.",2024-08-09
39116711,Synthesis and biological studies of 2-aminothiophene derivatives as positive allosteric modulators of glucagon-like peptide 1 receptor.,"As a step toward the development of novel small-molecule positive allosteric modulators (PAMs) of glucagon-like peptide 1 receptor (GLP-1R) for the treatment of type 2 diabetes, obesity, and heart diseases, we discovered a novel 2-amino-thiophene (2-AT) based lead compound bearing an ethyl 3-carboxylate appendage. In this work, we report the syntheses and biological studies of more than forty 2-AT analogs, that have revealed a 2-aminothiophene-3-arylketone analogue 7 (MW 299) showing approximately a 2-fold increase in insulin secretion at 5 μM when combined with the GLP-1 peptide at 10 nM. In vivo studies using CD1 mice at a dose of 10 mg/kg, clearly demonstrated that the blood plasma glucose level was lowered by 50% after 60 min. Co-treatment of 7 with sitagliptin, an inhibitor of GLP-1 degrading enzyme Dipeptidyl Peptidase IV, further confirmed 7 to be an effective PAM of GLP-1R. The small molecular weight and demonstrated allosteric modulating properties of these compound series, show the potential of these scaffolds for future drug development.",2024-08-02
39116445,"Novel Small-Molecule Atypical Chemokine Receptor 3 Agonists: Design, Synthesis, and Pharmacological Evaluation for Antiplatelet Therapy.","ACKR3, an atypical chemokine receptor, has been associated with prothrombotic events and the development of cardiovascular events. We designed, synthesized, and evaluated a series of novel small molecule ACKR3 agonists. Extensive structure-activity relationship studies resulted in several promising agonists with potencies ranging from the low micromolar to nanomolar range, for example, <b>23</b> (EC<sub>50</sub> = 111 nM, <i>E</i><sub><i>max</i></sub> = 95%) and <b>27</b> (EC<sub>50</sub> = 69 nM, <i>E</i><sub><i>max</i></sub> = 82%) in the β-arrestin-recruitment assay. These compounds are selective for ACKR3 versus ACKR2, CXCR3, and CXCR4. Several agonists were subjected to investigations of their P-selectin expression reduction in the flow cytometry experiments. In particular, compounds <b>23</b> and <b>27</b> showed the highest potency for platelet aggregation inhibition, up to 80% and 97%, respectively. The most promising compounds, especially <b>27</b>, exhibited good solubility, metabolic stability, and no cytotoxicity, suggesting a potential tool compound for the treatment of platelet-mediated thrombosis.",2024-08-08
39106256,A High-Throughput Screening Platform Identifies FDA-Approved Drugs That Inhibit SREBP Pathway Activation.,"Sterol regulatory element-binding protein (SREBP) transcription factors are central regulators of lipid homeostasis and are essential for lipid metabolic reprogramming that supports tumor growth in multiple cancers. SREBP pathway inhibitors have been identified, but bioavailable compounds are lacking. To address this need, we designed a novel approach for screening a collection of 4,474 FDA-approved drugs. SREBPs are conditionally essential and required under low lipid conditions. Leveraging this property, we screened for drugs that inhibited pancreatic cancer cell growth in lipid-poor, but not lipid-rich, medium. The primary screen identified 83 drugs that inhibited cell growth in a lipid-dependent manner. Secondary assays examining SREBP target gene expression, SREBP proteolytic cleavage, and effects on human breast cancer cells identified 13 FDA-approved drugs that inhibit SREBP pathway activation. Taken together, we demonstrated that our screening approach can identify SREBP inhibitors from a small library of compounds. This high-throughput screening platform enables screening of large compound collections to discover novel small molecule SREBP inhibitors.",2024-08-06
39094541,Identification of a novel xanthine oxidoreductase inhibitor for hyperuricemia treatment with high efficacy and safety profile.,"Hyperuricemia is with growing incidence and of high risk to develop into gout and other metabolic diseases. The key enzyme catalyzing uric acid synthesis, xanthine oxidoreductase (XOR) is a vital target for anti-hyperuricemic drugs, while XOR inhibitors characterized as both potent and safe are currently in urgent need. In this study, a novel small molecule compound, CC15009, was identified as a specific XOR inhibitor. CC15009 exerted strongest in vitro XOR inhibitory activity among current XOR inhibitors. It also showed favorable dose-dependent uric acid-lowering effects in two different XOR substrate-induced hyperuricemic mouse models, which was significantly superior than the current first-line drug, allopurinol. Mechanically, the direct binding of CC15009 against XOR was confirmed by molecular docking and SPR analysis. The inhibition mode was competitive and reversible. Besides, the potential antioxidant activity of CC15009 was indicated by its strong inhibitory activity against the oxidized isoform of XOR, which reduced ROS generation as the byproduct. Regarding the safety concerns of current XOR inhibitors, especially in cardiovascular risks, the safety of CC15009 was comprehensively evaluated. No significant abnormality was observed in the acute, subacute toxicity tests and mini-AMES test. Notably, there was no obvious inhibition of CC15009 against cardiac ion channels, including hERG, Na<sub>v</sub>1.5, Ca<sub>v</sub>1.2 at the concentration of 30 μM, indicating its lower cardiovascular risk. Taken together, our results supported CC15009 as a candidate of high efficacy and safety profile to treat hyperuricemia through direct XOR inhibition.",2024-08-01
39083045,Mechanisms of a novel regulatory light chain-dependent cardiac myosin inhibitor.,"Hypertrophic cardiomyopathy (HCM) is a genetic disease of the heart characterized by thickening of the left ventricle (LV), hypercontractility, and impaired relaxation. HCM is caused primarily by heritable mutations in sarcomeric proteins, such as β myosin heavy chain. Until recently, medications in clinical use for HCM did not directly target the underlying contractile changes in the sarcomere. Here, we investigate a novel small molecule, RLC-1, identified in a bovine cardiac myofibril high-throughput screen. RLC-1 is highly dependent on the presence of a regulatory light chain to bind to cardiac myosin and modulate its ATPase activity. In demembranated rat LV trabeculae, RLC-1 decreased maximal Ca2+-activated force and Ca2+ sensitivity of force, while it increased the submaximal rate constant for tension redevelopment. In myofibrils isolated from rat LV, both maximal and submaximal Ca2+-activated force are reduced by nearly 50%. Additionally, the fast and slow phases of relaxation were approximately twice as fast as DMSO controls, and the duration of the slow phase was shorter. Structurally, x-ray diffraction studies showed that RLC-1 moved myosin heads away from the thick filament backbone and decreased the order of myosin heads, which is different from other myosin inhibitors. In intact trabeculae and isolated cardiomyocytes, RLC-1 treatment resulted in decreased peak twitch magnitude and faster activation and relaxation kinetics. In conclusion, RLC-1 accelerated kinetics and decreased force production in the demembranated tissue, intact tissue, and intact whole cells, resulting in a smaller cardiac twitch, which could improve the underlying contractile changes associated with HCM.",2024-07-31
39081898,Enhancing the Inhibition of Corneal Neovascularization Efficacy by Self-Assembled into Supramolecular Hydrogel of Anti-Angiogenic Peptide.,Corneal neovascularization (CNV) is a common eye disease that leads to blindness. New treatment strategies are urgently needed due to the limitations of current treatment methods.,2024-07-25
39067438,A peptide-salinomycin conjugate with a bystander effect reduces the stemness characteristics of ovarian cancer cells and enhances drug sensitivity.,"Salinomycin (Sal) has attracted considerable attention in the field of tumor treatment, especially for its inhibitory effect on cancer stem cells (CSCs) and drug-resistant tumor cells. However, its solubility and targeting specificity pose significant challenges to its pharmaceutical development. Sal-A6, a novel peptide-drug conjugate (PDC), was formed by linking the peptide A6 targeting the CSC marker CD44 with Sal using a specific linker. This conjugation markedly enhances the physicochemical properties of Sal and compared to Sal, Sal-A6 demonstrated a significantly increased activity against ovarian cancer. Furthermore, Sal-A6, employing a disulfide bond as a linker, exhibited bystander killing effect. Moreover, it induces substantial cytotoxic effect on both cancer stem cells and drug-resistant cells in addition to enhance chemosensitivity of resistant ovarian cancer cells. In summary, the results indicated that Sal-A6, a novel PDC derived from Sal, has potential therapeutic applications in the treatment of ovarian cancer and drug-resistant patients. Additionally, this discovery offers insights for developing PDC-type drugs using Sal as a foundation.",2024-07-20
39065742,A Dynamic and Effective Peptide-Based Strategy for Promptly Addressing Emerging SARS-CoV-2 Variants of Concern.,"Genomic surveillance based on sequencing the entire genetic code of SARS-CoV-2 involves monitoring and studying genetic changes and variations in disease-causing organisms such as viruses and bacteria. By tracing the virus, it is possible to prevent epidemic spread in the community, ensuring a 'precision public health' strategy. A peptide-based design was applied to provide an efficacious strategy that is able to counteract any emerging viral variant of concern dynamically and promptly to affect the outcomes of a pandemic at an early stage while waiting for the production of the anti-variant-specific vaccine, which require longer times. The inhibition of the interaction between the receptor-binding domain (RBD) of the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and one of the cellular receptors (DPP4) that its receptors routinely bind to infect human cells is an intriguing therapeutic approach to prevent the virus from entering human cells. Among the other modalities developed for this purpose, peptides surely offer unique advantages, including ease of synthesis, serum stability, low immunogenicity and toxicity, and small production and distribution chain costs. Here, we obtained a potent new inhibitor based on the rearrangement of a previously identified peptide that has been rationally designed on a cell dipeptidyl peptidase 4 (DPP4) sequence, a ubiquitous membrane protein known to bind the RBD-SPIKE domain of the virus. This novel peptide (named <i>DPP4-derived</i>), conceived as an endogenous ""drug"", is capable of targeting the latest tested variants with a high affinity, reducing the VSV* DG-Fluc pseudovirus Omicron's infection capacity by up to 14%, as revealed by in vitro testing in human Calu-3 cells. Surface plasmon resonance (SPR) confirmed the binding affinity of the new <i>DPP4-derived</i> peptide with Omicron variant RBD.",2024-07-04
39061918,Novel Inhibitor of Keap1-Nrf2 Protein-Protein Interaction Attenuates Osteoclastogenesis In Vitro and Prevents OVX-Induced Bone Loss In Vivo.,"Keap1 interacts with Nrf2 by assisting in its ubiquitination and subsequent proteolysis. By preventing ROS accumulation during RANKL-induced osteoclastogenesis, Nrf2 activation can prevent the differentiation of osteoclasts. Additionally, inhibiting the Keap1-Nrf2 PPI can be an effective strategy for triggering Nrf2 to regulate oxidative stress. Structure-based virtual screening was performed to discover a potentially novel Keap1-Nrf2 PPI inhibitor wherein KCB-F06 was identified. The inhibitory effects of KCB-F06 on osteoclastogenesis were investigated in vitro through TRAP staining and bone resorption assays. An ovariectomy-induced osteoporosis mouse model was applied to evaluate KCB-F06's therapeutic effects in vivo. Lastly, the underlying mechanisms were explored using real-time PCR, Western blotting, and co-IP assays. KCB-F06 was discovered as a novel Keap1-Nrf2 PPI inhibitor. As a result, the expression of antioxidants (HO-1 and NQO1) was suppressed, hence reducing ROS accumulation during osteoclastogenesis. Subsequently, this caused the inactivation of RANKL-induced IKB/NF-kB signaling. This eventually led to the downregulation of osteoclast-specific proteins including NFATc1, which is an essential transcription factor for osteoclastogenesis. These results demonstrated that Nrf2 activation in osteoclasts is a valuable tool for osteoclastic bone loss management. In addition, KCB-F06 presents as an alternative candidate for treating osteoclast-related bone diseases and as a novel small molecule that can serve as a model for further Keap1-NRF2 PPI inhibitor development.",2024-07-15
39059347,Advances in small-molecule insulin secretagogues for diabetes treatment.,"Diabetes, a metabolic disease caused by abnormally high levels of blood glucose, has a high prevalence rate worldwide and causes a series of complications, including coronary heart disease, stroke, peripheral vascular disease, end-stage renal disease, and retinopathy. Small-molecule compounds have been developed as drugs for the treatment of diabetes because of their oral advantages. Insulin secretagogues are a class of small-molecule drugs used to treat diabetes, and include sulfonylureas, non-sulfonylureas, glucagon-like peptide-1 receptor agonists, dipeptidyl peptidase 4 inhibitors, and other novel small-molecule insulin secretagogues. However, many small-molecule compounds cause different side effects, posing huge challenges to drug monotherapy and drug selection. Therefore, the use of different small-molecule drugs must be improved. This article reviews the mechanism, advantages, limitations, and potential risks of small-molecule insulin secretagogues to provide future research directions on small-molecule drugs for the treatment of diabetes.",2024-07-26
39059074,Development and biological evaluation of <sup>68</sup>Ga-labeled peptides for potential application in HER2-positive colorectal cancer.,"Colorectal cancer (CRC) is among the most lethal and prevalent malignancies in the world. Human epidermal growth factor receptor 2 (HER2) is a promising target for the diagnosis and treatment of CRC. In this study, we aimed to design, synthesize and label peptide-based positron emission tomography (PET) tracers targeting HER2-positive CRC, namely [<sup>68</sup>Ga]Ga-ES-01 and [<sup>68</sup>Ga]Ga-ES-02. The results show that [<sup>68</sup>Ga]Ga-ES-01 and [<sup>68</sup>Ga]Ga-ES-02 possessed hydrophilicity, rapid pharmacokinetic properties and excellent stabilities. [<sup>68</sup>Ga]Ga-ES-02 demonstrated higher binding affinity (K<sub>d</sub> = 24.29 ± 4.95 nM) toward the HER2 in CRC. In HER2-positive HT-29 CRC xenograft mouse model, PET study showed specific tumor uptake after injection of [<sup>68</sup>Ga]Ga-ES-02 (SUV<sub>15min max</sub> = 0.87 ± 0.03; SUV<sub>30min max</sub> = 0.64 ± 0.02). In biodistribution study, the T/M ratios of <sup>68</sup>Ga-ES-02 at 30 min after injection reached a maximum of 4.07 ± 0.34. In summary, we successfully synthesized and evaluated two novel peptide-based PET tracers. Our data demonstrate that [<sup>68</sup>Ga]Ga-ES-01/02 is capable of HER2-positive colorectal cancer, with [<sup>68</sup>Ga]Ga-ES-02 showing superior imaging effect, enhanced targeting, and increased specificity.",2024-07-15
39053726,An MDM2 degrader shows potent cytotoxicity to MDM2-overexpressing acute lymphoblastic leukemia cells with minimal toxicity to normal cells/tissues.,"The MDM2 oncogene is amplified and/or overexpressed in various human cancers and elevated expression of MDM2 protein acts as a survival factor promoting cancer progression through both p53-dependent and -independent pathways. Here, we report a novel small-molecule chemical compound (MX69-102) that we identified to induce MDM2 protein degradation, resulting in reactivation of p53, inhibition of XIAP, and potent cell growth inhibition and apoptosis in MDM2-overexpressing acute lymphoblastic leukemia (ALL) in vitro and in vivo. We have previously identified a compound (MX69) that binds to the MDM2 C-terminal RING domain and induces MDM2 protein degradation. In the present study, we performed structural modifications of MX69 and selected analog MX69-102, showing increased MDM2-targeting activity. MX69-102 exhibited significantly enhanced inhibitory and apoptotic effects on a group of MDM2-overexpressing ALL cell lines in vitro with IC<sub>50</sub> values of about 0.2 μM, representing an approximately 38-fold increase in activity compared to MX69. MX69-102 also showed effective inhibition on xenografted human MDM2-overexpressing ALL in SCID mice. Importantly, MX69-102 had minimal or no inhibitory effect on normal human hematopoiesis in vitro and was very well tolerated in vivo in animal models. Based on the strong inhibitory and apoptotic activity against MDM2-overexpressing ALL, along with minimal or no toxicity to normal cells/tissues, MX69-102 is a candidate for further development as a novel MDM2-targeted therapeutic drug for refractory/MDM2-overexpressing ALL.",2024-07-23
39051113,Syngeneic mouse model of YES-driven metastatic and proliferative hepatocellular carcinoma.,"Hepatocellular carcinoma (HCC) is a disease of high unmet medical need that has become a global health problem. The development of targeted therapies for HCC has been hindered by the incomplete understanding of HCC pathogenesis and the limited number of relevant preclinical animal models. We recently unveiled a previously uncharacterized YES kinase (encoded by YES1)-dependent oncogenic signaling pathway in HCC. To model this subset of HCC, we established a series of syngeneic cell lines from liver tumors of transgenic mice expressing activated human YES. The resulting cell lines (referred to as HepYF) were enriched for expression of stem cell and progenitor markers, proliferated rapidly, and were characterized by high SRC family kinase (SFK) activity and activated mitogenic signaling pathways. Transcriptomic analysis indicated that HepYF cells are representative of the most aggressive proliferation class G3 subgroup of HCC. HepYF cells formed rapidly growing metastatic tumors upon orthotopic implantation into syngeneic hosts. Treatment with sorafenib or the SFK inhibitor dasatinib markedly inhibited the growth of HepYF tumors. The new HepYF HCC cell lines provide relevant preclinical models to study the pathogenesis of HCC and test novel small-molecule inhibitor and immunotherapy approaches.",2024-07-25
39048042,Novel peptide and hyaluronic acid coated biomimetic liposomes for targeting bacterial infections and sepsis.,"Sepsis is a life-threatening syndrome resulting from an imbalanced immune response to severe infections. Despite advances in nanomedicines, effective treatments for sepsis are still lacking. Herein, vancomycin free base (VCM)-loaded dual functionalized biomimetic liposomes based on a novel TLR4-targeting peptide (P3) and hyaluronic acid (HA) (HA-P3-Lipo) were developed to enhance sepsis therapy. The nanocarrier revealed appropriate physicochemical parameters, good stability, and biocompatibility. The release of VCM from HA-P3-Lipo was found to be sustained with 76 % VCM released in 48 h. The biomimicry was elucidated by in silico tools and MST and results confirmed strong binding between the system and TLR4. Furthermore, HA-P3-Lipo revealed 2-fold enhanced antibacterial activity against S. aureus, sustained antibacterial activity against MRSA over 72 h and 5-fold better MRSA biofilm inhibition compared to bare VCM. Bacterial-killing kinetics and flow cytometry confirmed the superiority of HA-P3-Lipo in eliminating MRSA faster than VCM. The in vivo potential of the nanocarrier was elucidated in an MRSA-induced sepsis mice model, and the results confirmed the superiority of HA-P3-Lipo compared to free VCM in eliminating bacteria and down-regulating the proinflammatory markers. Therefore, HA-P3-Lipo exhibits potential as a promising novel multi-functional nanosystem against sepsis and could significantly contribute to the transformation of sepsis therapy.",2024-07-22
